label,problem,m,n,status,time_s,solve_time_s,iterations,objective,optimal,rel_gap
loraine,truss1,6,13,"OPTIMAL",0.00090013,0.00092697,11,-8.999996330792243,-8.999996,3.675471004374274e-8
loraine,hinf1,13,14,"INFEASIBLE_OR_UNBOUNDED",0.0033232,0.0039878,22,2.0326857148843773,2.0326,4.217007004691707e-5
loraine,control1,21,15,"OPTIMAL",0.0052845,0.012385,24,17.7846279197372,17.78463,1.169696979556645e-7
loraine,hinf2,13,16,"INFEASIBLE_OR_UNBOUNDED",0.0060702,0.0063739,32,10.967139218747471,10.967,1.26943327683681e-5
loraine,hinf3,13,16,"INFEASIBLE_OR_UNBOUNDED",0.0029929,0.0030968,32,56.95175575513897,56.9,0.0009095914787165205
loraine,hinf4,13,16,"INFEASIBLE_OR_UNBOUNDED",0.0027502,0.0058248,29,274.76472734760836,274.764,2.647172148996658e-6
loraine,hinf5,13,16,"INFEASIBLE_OR_UNBOUNDED",0.0050933,0.0054901,27,362.5881036949553,363.0,0.0011347005648614501
loraine,hinf6,13,16,"INFEASIBLE_OR_UNBOUNDED",0.0060061,0.006413,31,449.03348403411496,449.0,7.457468622486175e-5
loraine,hinf7,13,16,"INFEASIBLE_OR_UNBOUNDED",0.0026099,0.002625,28,399.0479923101253,391.0,0.02058310053740492
loraine,hinf8,13,16,"INFEASIBLE_OR_UNBOUNDED",0.002223,0.004858,24,116.25152039266419,116.0,0.002168279247105088
loraine,hinf9,13,16,"OPTIMAL",0.0059062,0.0062311,31,236.24925825179946,236.25,3.139674922918116e-6
loraine,hinf10,21,18,"INFEASIBLE_OR_UNBOUNDED",0.0035923,0.015434,32,108.80304908085036,109.0,0.0018068891665104843
loraine,truss4,12,19,"OPTIMAL",0.0023293,0.002423,11,-9.00999603278443,-9.009996,3.6386732213676886e-9
loraine,hinf11,31,22,"INFEASIBLE_OR_UNBOUNDED",0.0048768,0.00506,33,65.9251455410471,65.9,0.0003815711843261809
loraine,hinf12,43,24,"ITERATION_LIMIT",0.019325,0.05129,101,1.7829027667937514e-8,0.2,0.19999998217097234
loraine,qap5,136,26,"INFEASIBLE_OR_UNBOUNDED",0.023469,0.037498,15,2.9298897989362075e12,-436.0,6.719930732505063e9
loraine,control2,66,30,"OPTIMAL",0.014046,0.018963,25,8.300000707435444,8.3,8.523318597093726e-8
loraine,hinf13,57,30,"INFEASIBLE_OR_UNBOUNDED",0.0080474,0.03286,25,44.96069510300714,46.0,0.022593584717236086
loraine,infd1,10,30,"INFEASIBLE_OR_UNBOUNDED",0.012982,0.025117,31,-1.4282635200489937e58,NaN,NaN
loraine,infd2,10,30,"INFEASIBLE_OR_UNBOUNDED",0.011934,0.023902,24,-1.2621447653562253e57,NaN,NaN
loraine,infp1,10,30,"INFEASIBLE",0.011564,0.017925,28,4.812963886863448,NaN,NaN
loraine,infp2,10,30,"INFEASIBLE",0.01171,0.024276,28,7.333151867492274,NaN,NaN
loraine,truss3,27,31,"OPTIMAL",0.0019482,0.011991,11,-9.109994520233686,-9.109996,1.6243325626222376e-7
