label,problem,m,n,status,time_s,solve_time_s,iterations,objective,optimal,rel_gap
main,truss1,6,13,"OPTIMAL",0.0011069,0.0011351,11,-8.999996330821325,-8.999996,3.6757941435642764e-8
main,hinf1,13,14,"INFEASIBLE_OR_UNBOUNDED",0.0021875,0.0022039,24,2.032661035984169,2.0326,3.0028527092918745e-5
main,control1,21,15,"OPTIMAL",0.0027331,0.0057321,24,17.784627919888276,17.78463,1.1696120322754943e-7
main,hinf2,13,16,"INFEASIBLE_OR_UNBOUNDED",0.0034045,0.007051,34,10.969912585302371,10.967,0.00026557721367469444
main,hinf3,13,16,"INFEASIBLE_OR_UNBOUNDED",0.002819,0.0028858,28,56.94799822323176,56.9,0.0008435540111029556
main,hinf4,13,16,"INFEASIBLE_OR_UNBOUNDED",0.0030094,0.0030501,30,274.7644186733341,274.764,1.5237561473906033e-6
main,hinf5,13,16,"INFEASIBLE_OR_UNBOUNDED",0.0029879,0.0062401,25,362.9200276729856,363.0,0.0002203094408109879
main,hinf6,13,16,"INFEASIBLE_OR_UNBOUNDED",0.0032146,0.0071559,32,449.0105275771517,449.0,2.3446719714298272e-5
main,hinf7,13,16,"INFEASIBLE_OR_UNBOUNDED",0.003428,0.0072491,34,392.3147500118229,391.0,0.003362531999547118
main,hinf8,13,16,"INFEASIBLE_OR_UNBOUNDED",0.0027874,0.002811,28,116.35945385016537,116.0,0.0030987400876324647
main,hinf9,13,16,"INFEASIBLE_OR_UNBOUNDED",0.0038122,0.0069551,33,236.24925825518542,236.25,3.1396605907974406e-6
main,hinf10,21,18,"INFEASIBLE_OR_UNBOUNDED",0.0041051,0.004163,33,108.81748687817507,109.0,0.0016744323103204165
main,truss4,12,19,"OPTIMAL",0.0014044,0.00143,11,-9.009996032799704,-9.009996,3.64036835154368e-9
main,hinf11,31,22,"INFEASIBLE_OR_UNBOUNDED",0.0057331,0.011962,33,65.91063097330087,65.9,0.0001613197769478442
main,hinf12,43,24,"ITERATION_LIMIT",0.026923,0.027493,101,1.1523553743093936e-8,0.2,0.19999998847644626
main,qap5,136,26,"INFEASIBLE_OR_UNBOUNDED",0.018802,0.0408,15,2.882998222136427e12,-436.0,6.612381244432172e9
main,control2,66,30,"OPTIMAL",0.018202,0.01825,25,8.300000707589625,8.3,8.525176195506167e-8
main,hinf13,57,30,"INFEASIBLE_OR_UNBOUNDED",0.009539,0.019997,24,44.895806039351726,46.0,0.024004216535832047
main,infd1,10,30,"INFEASIBLE_OR_UNBOUNDED",0.013749,0.040657,31,-1.4282862743255607e58,NaN,NaN
main,infd2,10,30,"INFEASIBLE_OR_UNBOUNDED",0.010434,0.012536,24,-1.2621765553110439e57,NaN,NaN
main,infp1,10,30,"INFEASIBLE",0.013992,0.029629,28,4.8129639192989275,NaN,NaN
main,infp2,10,30,"INFEASIBLE",0.013942,0.032727,28,7.333152055066192,NaN,NaN
main,truss3,27,31,"OPTIMAL",0.0023378,0.010965,11,-9.10999452023369,-9.109996,1.6243325587224404e-7
main,hinf14,73,34,"INFEASIBLE_OR_UNBOUNDED",0.012939,0.015613,22,13.000733917395976,13.0,5.6455184305876246e-5
main,hinf15,91,37,"INFEASIBLE_OR_UNBOUNDED",0.02622,0.026711,27,20.277343526835196,25.0,0.18890625892659216
main,qap6,229,37,"INFEASIBLE_OR_UNBOUNDED",0.090694,0.19591,23,113.20258100880164,-381.44,1.2967769007151888
main,control3,136,45,"OPTIMAL",0.069932,0.081227,26,13.63326931987644,13.63327,4.988704538596158e-8
main,qap7,358,50,"INFEASIBLE_OR_UNBOUNDED",0.18615,0.20894,18,5.161724205902205e10,-425.0,1.2145233525652246e8
main,theta1,104,50,"OPTIMAL",0.017776,0.019209,11,23.000001396192154,23.0,6.070400669090226e-8
main,control4,231,60,"INFEASIBLE_OR_UNBOUNDED",0.64246,0.64246,35,19.79423663324725,19.79423,3.3511014335023137e-7
main,qap8,529,65,"INFEASIBLE_OR_UNBOUNDED",0.50604,0.50603,20,1.5401452538157227e10,-757.0,2.034538083904521e7
main,control5,351,75,"INFEASIBLE_OR_UNBOUNDED",1.5691,1.5691,36,16.88361105508401,16.8836,6.547823929206469e-7
main,qap9,748,82,"INFEASIBLE_OR_UNBOUNDED",2.2952,2.2952,16,5.235696971166511e10,-1410.0,3.71326036323866e7
main,control6,496,90,"INFEASIBLE_OR_UNBOUNDED",3.4434,3.4434,40,37.304468905472206,37.3044,1.8471138043905198e-6
main,gpp100,101,100,"INFEASIBLE_OR_UNBOUNDED",0.58668,0.58667,64,9.863520660419676e8,-44.9435,2.1946490838173877e7
main,mcp100,100,100,"OPTIMAL",0.082267,0.093306,11,226.1573538084033,226.1574,2.0424534730845568e-7
main,theta2,498,100,"OPTIMAL",0.91687,0.91686,12,32.87917328340944,32.87917,9.986290533561945e-8
main,qap10,1021,101,"INFEASIBLE_OR_UNBOUNDED",4.408,4.408,18,2860.665792764843,-10.93,262.72605606265716
main,control7,666,105,"INFEASIBLE_OR_UNBOUNDED",9.2765,9.2765,39,20.625078056046494,20.6251,1.0639441023730356e-6
main,control8,861,120,"INFEASIBLE_OR_UNBOUNDED",14.32,14.32,35,20.286389711828807,20.286,1.9210875914713205e-5
main,gpp124-1,125,124,"INFEASIBLE_OR_UNBOUNDED",0.61995,0.61993,43,-7.343074254202879,-7.3431,3.5061210007885984e-6
main,gpp124-2,125,124,"INFEASIBLE_OR_UNBOUNDED",0.58478,0.58477,28,902.8275714150369,-46.8623,20.265541200816795
main,gpp124-3,125,124,"INFEASIBLE_OR_UNBOUNDED",0.50209,0.50208,35,5.037153760765768e6,-153.014,32920.56135233225
main,gpp124-4,125,124,"INFEASIBLE_OR_UNBOUNDED",0.50188,0.50187,36,-261.0915309118896,-418.99,0.37685498242943843
main,mcp124-1,124,124,"OPTIMAL",0.077836,0.45834,12,141.99047797038835,141.9905,1.551484898105006e-7
main,mcp124-2,124,124,"OPTIMAL",0.073994,0.37824,12,269.8801716747248,269.8802,1.0495499557056892e-7
main,mcp124-3,124,124,"OPTIMAL",0.066432,0.066425,11,467.75011786958663,467.7501,3.8203277041770524e-8
main,mcp124-4,124,124,"OPTIMAL",0.067222,0.067216,11,864.4118669402785,864.4119,3.8245333540095385e-8
main,truss2,58,133,"OPTIMAL",0.016052,0.038663,15,-123.38035304581706,-123.3804,3.805643597739622e-7
main,control9,1081,135,"INFEASIBLE_OR_UNBOUNDED",14.264,14.264,34,14.675449702786123,14.6754,3.3868096353940882e-6
main,control10,1326,150,"TIMEOUT",60.0,NaN,-1,NaN,38.533,NaN
main,theta3,1106,150,"OPTIMAL",3.7537,3.7537,13,42.16698261114428,42.16698,6.192391001257548e-8
main,control11,1596,165,"TIMEOUT",60.0,NaN,-1,NaN,31.959,NaN
main,theta4,1949,200,"OPTIMAL",24.027,24.027,14,50.32122327867914,50.32122,6.515500111223383e-8
main,gpp250-1,250,250,"INFEASIBLE_OR_UNBOUNDED",1.5461,1.5461,22,80800.63647906514,-15.445,5232.507703403377
main,gpp250-2,250,250,"INFEASIBLE_OR_UNBOUNDED",2.3358,2.3358,23,1188.1731932118812,-81.869,15.51310255666835
main,gpp250-3,250,250,"INFEASIBLE_OR_UNBOUNDED",2.0509,2.0509,20,-303.5393181714746,-303.5,0.0001295491646608781
main,gpp250-4,250,250,"ERROR: On worker 5:
FieldError: type LinearAlgebra.Diagonal has no ",NaN,NaN,-1,NaN,-747.3,NaN
main,mcp250-1,250,250,"OPTIMAL",0.96802,0.96801,12,317.26436456393503,317.2643,2.0350204873649836e-7
main,mcp250-2,250,250,"OPTIMAL",0.81512,0.8151,11,531.9300971672134,531.9301,5.325486681465609e-9
main,mcp250-3,250,250,"OPTIMAL",0.82607,1.2036,11,981.1725844630183,981.1726,1.5835115721637044e-8
main,mcp250-4,250,250,"OPTIMAL",1.1796,1.1796,11,1681.960138796938,1681.96,8.252095056811642e-8
main,truss7,86,301,"OPTIMAL",0.13973,0.2434,27,-900.0013984360265,-900.001,4.427062042793808e-7
main,truss5,208,331,"OPTIMAL",0.16072,0.17957,16,-132.6356681616233,-132.6357,2.400437944966704e-7
main,arch0,174,335,"OPTIMAL",2.4941,2.4941,22,0.566517322757407,0.566517,3.2275740691201094e-7
main,arch2,174,335,"OPTIMAL",1.9017,1.9017,20,0.6715155696136811,0.671515,5.696136811117469e-7
main,arch4,174,335,"OPTIMAL",2.2673,2.2673,20,0.9726276869024194,0.9726274,2.86902419377455e-7
main,arch8,174,335,"OPTIMAL",1.908,1.908,20,7.056980185757865,7.05698,2.632257213282413e-8
main,ss30,132,426,"OPTIMAL",8.6797,8.6797,20,20.2395109623375,20.2395,5.41630845710221e-7
main,truss6,172,451,"OPTIMAL",0.46978,0.82364,24,-901.0013716092109,-901.001,4.1244039784819827e-7
main,gpp500-1,501,500,"INFEASIBLE_OR_UNBOUNDED",14.222,14.222,25,9.739557855685739e6,-25.3,384963.761094298
main,gpp500-2,501,500,"INFEASIBLE_OR_UNBOUNDED",12.746,12.746,22,122386.5341245809,-156.06,785.2274389630968
main,gpp500-3,501,500,"INFEASIBLE_OR_UNBOUNDED",13.25,13.25,23,3.419370251988749e8,-513.02,666518.9236655001
main,gpp500-4,501,500,"OPTIMAL",6.5926,6.5926,12,-1567.0187832613378,-1567.02,7.764665812506087e-7
main,mcp500-1,500,500,"OPTIMAL",7.6573,7.6573,14,598.1485261253997,598.1485,4.36771131242404e-8
main,mcp500-2,500,500,"OPTIMAL",4.0383,4.0383,13,1070.0567715166208,1070.057,2.1352449379805873e-7
main,mcp500-3,500,500,"OPTIMAL",5.426,5.426,12,1847.9700271986715,1847.97,1.4718134727520317e-8
main,mcp500-4,500,500,"OPTIMAL",5.7427,5.7427,12,3566.7380719067137,3566.738,2.0160357687094295e-8
main,truss8,496,628,"OPTIMAL",3.3613,3.3612,17,-133.11453953627813,-133.1146,4.542230669343892e-7
main,maxG11,800,800,"OPTIMAL",24.032,24.032,13,629.1647851961513,629.1648,2.35293657104833e-8
main,equalG11,801,801,"OPTIMAL",21.86,21.86,13,629.1553023832648,629.1553,3.788039000773326e-9
main,thetaG11,2401,801,"TIMEOUT",60.0,NaN,-1,NaN,400.0,NaN
main,maxG51,1000,1000,"TIMEOUT",60.0,NaN,-1,NaN,4003.809,NaN
